id,score
1500100001,406
1500100002,440
1500100003,359
1500100004,421
1500100005,395
1500100006,314
1500100007,418
1500100008,363
1500100009,251
1500100010,402
1500100011,282
1500100012,459
1500100013,369
1500100014,396
1500100015,309
1500100016,359
1500100017,263
1500100018,425
1500100019,433
1500100020,295
1500100021,203
1500100022,261
1500100023,297
1500100024,343
1500100025,246
1500100026,349
1500100027,390
1500100028,323
1500100029,405
1500100030,369
1500100031,209
1500100032,184
1500100033,532
1500100034,360
1500100035,457
1500100036,362
1500100037,355
1500100038,381
1500100039,503
1500100040,382
1500100041,468
1500100042,298
1500100043,356
1500100044,295
1500100045,355
1500100046,282
1500100047,247
1500100048,390
1500100049,287
1500100050,342
1500100051,440
1500100052,424
1500100053,442
1500100054,372
1500100055,236
1500100056,380
1500100057,431
1500100058,464
1500100059,506
1500100060,402
1500100061,409
1500100062,241
1500100063,205
1500100064,428
1500100065,270
1500100066,526
1500100067,238
1500100068,385
1500100069,301
1500100070,442
1500100071,383
1500100072,382
1500100073,478
1500100074,308
1500100075,437
1500100076,435
1500100077,346
1500100078,280
1500100079,341
1500100080,628
1500100081,279
1500100082,283
1500100083,426
1500100084,305
1500100085,317
1500100086,288
1500100087,363
1500100088,403
1500100089,472
1500100090,315
1500100091,328
1500100092,348
1500100093,528
1500100094,404
1500100095,336
1500100096,326
1500100097,429
1500100098,424
1500100099,377
1500100100,432
1500100101,227
1500100102,397
1500100103,537
1500100104,533
1500100105,252
1500100106,392
1500100107,458
1500100108,429
1500100109,348
1500100110,357
1500100111,477
1500100112,359
1500100113,519
1500100114,402
1500100115,364
1500100116,520
1500100117,331
1500100118,509
1500100119,508
1500100120,437
1500100121,383
1500100122,330
1500100123,451
1500100124,431
1500100125,385
1500100126,403
1500100127,176
1500100128,549
1500100129,418
1500100130,299
1500100131,452
1500100132,308
1500100133,332
1500100134,279
1500100135,252
1500100136,583
1500100137,403
1500100138,203
1500100139,375
1500100140,459
1500100141,336
1500100142,461
1500100143,340
1500100144,294
1500100145,357
1500100146,385
1500100147,283
1500100148,500
1500100149,313
1500100150,422
1500100151,275
1500100152,321
1500100153,187
1500100154,328
1500100155,501
1500100156,287
1500100157,289
1500100158,418
1500100159,445
1500100160,568
1500100161,296
1500100162,413
1500100163,291
1500100164,364
1500100165,412
1500100166,356
1500100167,401
1500100168,231
1500100169,475
1500100170,387
1500100171,323
1500100172,412
1500100173,389
1500100174,288
1500100175,452
1500100176,234
1500100177,273
1500100178,388
1500100179,457
1500100180,445
1500100181,165
1500100182,218
1500100183,430
1500100184,580
1500100185,365
1500100186,496
1500100187,313
1500100188,446
1500100189,328
1500100190,292
1500100191,395
1500100192,483
1500100193,365
1500100194,231
1500100195,312
1500100196,446
1500100197,308
1500100198,320
1500100199,391
1500100200,246
1500100201,247
1500100202,268
1500100203,250
1500100204,398
1500100205,392
1500100206,355
1500100207,275
1500100208,451
1500100209,403
1500100210,327
1500100211,453
1500100212,349
1500100213,351
1500100214,360
1500100215,358
1500100216,344
1500100217,397
1500100218,453
1500100219,399
1500100220,442
1500100221,320
1500100222,299
1500100223,319
1500100224,297
1500100225,412
1500100226,225
1500100227,326
1500100228,480
1500100229,294
1500100230,295
1500100231,218
1500100232,291
1500100233,468
1500100234,219
1500100235,520
1500100236,371
1500100237,378
1500100238,322
1500100239,301
1500100240,398
1500100241,400
1500100242,294
1500100243,424
1500100244,314
1500100245,393
1500100246,463
1500100247,480
1500100248,182
1500100249,212
1500100250,272
1500100251,226
1500100252,241
1500100253,401
1500100254,411
1500100255,383
1500100256,285
1500100257,314
1500100258,604
1500100259,330
1500100260,345
1500100261,484
1500100262,460
1500100263,457
1500100264,492
1500100265,357
1500100266,418
1500100267,307
1500100268,349
1500100269,378
1500100270,456
1500100271,298
1500100272,378
1500100273,418
1500100274,369
1500100275,504
1500100276,176
1500100277,374
1500100278,407
1500100279,446
1500100280,341
1500100281,385
1500100282,304
1500100283,418
1500100284,406
1500100285,426
1500100286,172
1500100287,429
1500100288,201
1500100289,169
1500100290,384
1500100291,349
1500100292,328
1500100293,361
1500100294,271
1500100295,450
1500100296,302
1500100297,297
1500100298,492
1500100299,333
1500100300,488
1500100301,405
1500100302,206
1500100303,308
1500100304,374
1500100305,417
1500100306,505
1500100307,460
1500100308,628
1500100309,325
1500100310,404
1500100311,472
1500100312,447
1500100313,323
1500100314,290
1500100315,250
1500100316,426
1500100317,265
1500100318,223
1500100319,373
1500100320,318
1500100321,457
1500100322,405
1500100323,383
1500100324,461
1500100325,337
1500100326,330
1500100327,211
1500100328,331
1500100329,338
1500100330,357
1500100331,376
1500100332,493
1500100333,417
1500100334,428
1500100335,390
1500100336,365
1500100337,455
1500100338,485
1500100339,329
1500100340,478
1500100341,425
1500100342,323
1500100343,441
1500100344,212
1500100345,318
1500100346,391
1500100347,450
1500100348,370
1500100349,435
1500100350,356
1500100351,340
1500100352,337
1500100353,523
1500100354,351
1500100355,405
1500100356,376
1500100357,446
1500100358,507
1500100359,418
1500100360,310
1500100361,181
1500100362,418
1500100363,307
1500100364,299
1500100365,391
1500100366,393
1500100367,363
1500100368,388
1500100369,376
1500100370,300
1500100371,264
1500100372,431
1500100373,342
1500100374,316
1500100375,349
1500100376,454
1500100377,497
1500100378,402
1500100379,429
1500100380,227
1500100381,419
1500100382,352
1500100383,169
1500100384,456
1500100385,377
1500100386,424
1500100387,301
1500100388,443
1500100389,380
1500100390,412
1500100391,312
1500100392,264
1500100393,428
1500100394,468
1500100395,383
1500100396,387
1500100397,441
1500100398,319
1500100399,310
1500100400,324
1500100401,266
1500100402,367
1500100403,485
1500100404,304
1500100405,532
1500100406,476
1500100407,449
1500100408,372
1500100409,301
1500100410,325
1500100411,443
1500100412,264
1500100413,394
1500100414,344
1500100415,458
1500100416,250
1500100417,340
1500100418,611
1500100419,272
1500100420,170
1500100421,492
1500100422,205
1500100423,430
1500100424,333
1500100425,226
1500100426,367
1500100427,250
1500100428,150
1500100429,293
1500100430,431
1500100431,413
1500100432,306
1500100433,345
1500100434,550
1500100435,420
1500100436,300
1500100437,334
1500100438,419
1500100439,248
1500100440,463
1500100441,446
1500100442,486
1500100443,475
1500100444,295
1500100445,227
1500100446,240
1500100447,348
1500100448,429
1500100449,389
1500100450,355
1500100451,325
1500100452,391
1500100453,397
1500100454,381
1500100455,317
1500100456,385
1500100457,270
1500100458,319
1500100459,386
1500100460,273
1500100461,445
1500100462,347
1500100463,401
1500100464,343
1500100465,308
1500100466,425
1500100467,255
1500100468,268
1500100469,315
1500100470,342
1500100471,246
1500100472,438
1500100473,410
1500100474,461
1500100475,293
1500100476,412
1500100477,426
1500100478,435
1500100479,382
1500100480,221
1500100481,301
1500100482,377
1500100483,365
1500100484,479
1500100485,447
1500100486,328
1500100487,358
1500100488,398
1500100489,287
1500100490,278
1500100491,491
1500100492,341
1500100493,251
1500100494,276
1500100495,451
1500100496,294
1500100497,475
1500100498,313
1500100499,368
1500100500,346
1500100501,515
1500100502,358
1500100503,441
1500100504,455
1500100505,482
1500100506,441
1500100507,231
1500100508,341
1500100509,336
1500100510,342
1500100511,396
1500100512,280
1500100513,249
1500100514,295
1500100515,453
1500100516,410
1500100517,403
1500100518,508
1500100519,334
1500100520,372
1500100521,385
1500100522,324
1500100523,289
1500100524,369
1500100525,329
1500100526,461
1500100527,430
1500100528,477
1500100529,234
1500100530,435
1500100531,440
1500100532,251
1500100533,288
1500100534,404
1500100535,364
1500100536,327
1500100537,457
1500100538,505
1500100539,351
1500100540,380
1500100541,427
1500100542,355
1500100543,259
1500100544,266
1500100545,450
1500100546,395
1500100547,584
1500100548,446
1500100549,507
1500100550,314
1500100551,403
1500100552,449
1500100553,456
1500100554,291
1500100555,368
1500100556,525
